domain,Source,"NewsGuard, Does not repeatedly publish false content","NewsGuard, Gathers and presents information responsibly","NewsGuard, Regularly corrects or clarifies errors","NewsGuard, Handles the difference between news and opinion responsibly","NewsGuard, Avoids deceptive headlines","NewsGuard, Website discloses ownership and financing","NewsGuard, Clearly labels advertising","NewsGuard, Reveals who's in charge, including any possible conflicts of interest","NewsGuard, Provides information about content creators","NewsGuard, score","NewsGuard, overall_class","Pew Research Center, known_by_40%","Pew Research Center, total","Pew Research Center, consistently_liberal","Pew Research Center, mostly_liberal","Pew Research Center, mixed","Pew Research Center, mostly conservative","Pew Research Center, consistently conservative","Wikipedia, is_fake","Open Sources, reliable","Open Sources, fake","Open Sources, unreliable","Open Sources, bias","Open Sources, conspiracy","Open Sources, hate","Open Sources, junksci","Open Sources, rumor","Open Sources, blog","Open Sources, clickbait","Open Sources, political","Open Sources, satire","Open Sources, state","Media Bias / Fact Check, label","Media Bias / Fact Check, factual_reporting","Media Bias / Fact Check, extreme_left","Media Bias / Fact Check, right","Media Bias / Fact Check, extreme_right","Media Bias / Fact Check, propaganda","Media Bias / Fact Check, fake_news","Media Bias / Fact Check, some_fake_news","Media Bias / Fact Check, failed_fact_checks","Media Bias / Fact Check, conspiracy","Media Bias / Fact Check, pseudoscience","Media Bias / Fact Check, hate_group","Media Bias / Fact Check, anti_islam","Media Bias / Fact Check, nationalism","Allsides, bias_rating","Allsides, community_agree","Allsides, community_disagree","Allsides, community_label","BuzzFeed, leaning","PolitiFact, Pants on Fire!","PolitiFact, False","PolitiFact, Mostly False","PolitiFact, Half-True","PolitiFact, Mostly True","PolitiFact, True"
birminghammail.co.uk,Birmingham Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
breitbart.com,Breitbart,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,,,,2.0,3.0,,,,,,,1.0,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Right,11911.0,6546.0,agree,right,2.0,2.0,0.0,0.0,1.0,0.0
businessinsider.com,Business Insider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1561.0,1665.0,somewhat disagree,,,,,,,
buzzfeed.com,Buzzfeed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,3062.0,4197.0,somewhat disagree,,1.0,0.0,0.0,0.0,0.0,0.0
cbsnews.com,CBS News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,4320.0,3857.0,somewhat agree,,,,,,,
cnbc.com,CNBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1320.0,3388.0,strongly disagree,,,,,,,
cnn.com,CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,23421.0,24137.0,somewhat disagree,,0.0,0.0,1.0,0.0,0.0,0.0
cnsnews.com,CNS News,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,67.5,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,712.0,588.0,somewhat agree,right,,,,,,
chicago.suntimes.com,Chicago Sun-Times,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,567.0,567.0,,,,,,,,
countercurrents.org,Counter Current News,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
crooksandliars.com,Crooks and Liars,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,82.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
dcpostgazette.com,DC Gazette,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
thedailybeast.com,Daily Beast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,4427.0,3503.0,somewhat agree,,,,,,,
dailykos.com,Daily Kos,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,54.5,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,,2.0,1.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,3796.0,1525.0,strongly agree,left,,,,,,
dailymail.co.uk,Daily Mail,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Right,990.0,885.0,somewhat agree,,0.0,0.0,1.0,0.0,0.0,0.0
dailysignal.com,Daily Signal,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,92.5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,137.0,34.0,absolutely agree,right,,,,,,
dailystormer.in,Daily Stormer,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,questionable_source,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
democracy21.org,Democracy 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
drudgereport.com,Drudge Report,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,29.5,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,1631.0,994.0,agree,right,2.0,0.0,0.0,0.0,0.0,0.0
standard.co.uk,Evening Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
ft.com,FT Westminster Blog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fakingnews.com,Faking News,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
feministing.com,Feministing Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
fivethirtyeight.com,FiveThirtyEight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,2561.0,1470.0,agree,,,,,,,
foreignpolicy.com,Foreign Policy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,,,,,least_biased,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
fortune.com,Fortune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
forward.com,Forward Progessives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
foxnews.com,Fox News,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,18007.0,27420.0,disagree,right,0.0,0.0,1.0,1.0,0.0,0.0
france24.com,France24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
freedomdaily.com,Freedom Daily,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,1.0,0.0,1.0,0.0,0.0,0.0
thefreedomoutpost.net,Freedom Outpost,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
frontpagemag.com,FrontPage Magazine,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.5,0.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,questionable_source,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Right,391.0,296.0,somewhat agree,right,,,,,,
,Fusion,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
globalresearch.ca,GlobalResearch,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
glossy.co,Glossy News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hotair.com,Hot Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,797.0,733.0,somewhat agree,right,,,,,,
humansbefree.com,HumansAreFree,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
humortimes.com,Humor Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
infowars.com,Infowars,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,3579.0,782.0,absolutely agree,right,2.0,1.0,0.0,1.0,0.0,0.0
instapundit.com,Instapundit,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,right,,,,,,
nationalreview.com,Intellectual Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lean Right,284.0,295.0,somewhat disagree,,,,,,,
itnews.com.au,Intellihub,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
interpretermag.com,Interpreter Mag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
investors.com,Investors Business Daily,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,82.5,1.0,,,,,,,,,,,,,,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,692.0,607.0,somewhat agree,,1.0,1.0,0.0,0.0,0.0,0.0
lewrockwell.com,LewRockwell,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,3.0,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,
liveaction.org,Live Action,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,22.5,0.0,,,,,,,,,,,,1.0,,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Right,166.0,119.0,somewhat agree,,,,,,,
msnbc.com,MSNBC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,82.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,3059.0,1273.0,strongly agree,left,1.0,0.0,0.0,0.0,0.0,0.0
mediamatters.org,Media Matters for America,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,70.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,2083.0,1242.0,agree,left,,,,,,
mercurynews.com,Mercury News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
motherjones.com,MotherJones,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,3008.0,673.0,absolutely agree,left,,,,,,
nodisinfo.com,NODISINFO,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
npr.org,NPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,16185.0,11099.0,somewhat agree,,,,,,,
nationalreview.com,National Review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,6809.0,3300.0,strongly agree,right,0.0,0.0,0.0,0.0,0.0,1.0
naturalnews.com,Natural News,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.5,0.0,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
nydailynews.com,New York Daily News,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,812.0,329.0,strongly agree,,,,,,,
nypost.com,New York Post,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.5,1.0,,,,,,,,,,,,,,,,,,,,,,right_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,2077.0,1521.0,somewhat agree,,0.0,0.0,1.0,0.0,0.0,0.0
newyorker.com,New Yorker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,947.0,360.0,strongly agree,,,,,,,
newsbiscuit.com,News Biscuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,satire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
newsbusters.org,News Busters,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
newswars.com,Newswars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
newsweek.com,Newsweek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,1452.0,1847.0,somewhat disagree,,0.0,0.0,0.0,0.0,1.0,0.0
observer.com,Observer,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbs.org,PBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1714.0,1212.0,somewhat agree,,,,,,,
palmerreport.com,Palmer Report,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
gellerreport.com,Pamela Geller Report,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,
thepinknews.com,Pink News UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
politico.com,Politico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,least_biased,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
,Politics UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lean Left,11349.0,18812.0,disagree,,,,,,,
politicususa.com,Politicus USA,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.5,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,Left,702.0,217.0,absolutely agree,left,,,,,,
powerlineblog.com,Powerline Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,,,,,
pravda.ru,Pravada Report,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
prisonplanet.com,Prison Planet,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,,,,,,
rt.com,RT,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,32.5,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
rawstory.com,Raw Story,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,399.0,233.0,agree,left,0.0,0.0,0.0,1.0,0.0,0.0
